产品编号,产品品类,销售区域,预测日期,预测销量
产品001,电子产品,华北,2024-01-01,76
产品001,电子产品,华北,2024-01-02,77
产品001,电子产品,华北,2024-01-03,77
产品001,电子产品,华北,2024-01-04,77
产品001,电子产品,华北,2024-01-05,76
产品001,电子产品,华北,2024-01-06,77
产品001,电子产品,华北,2024-01-07,76
产品002,电子产品,华南,2024-01-01,81
产品002,电子产品,华南,2024-01-02,86
产品002,电子产品,华南,2024-01-03,87
产品002,电子产品,华南,2024-01-04,87
产品002,电子产品,华南,2024-01-05,86
产品002,电子产品,华南,2024-01-06,85
产品002,电子产品,华南,2024-01-07,85
产品003,服饰类,华东,2024-01-01,68
产品003,服饰类,华东,2024-01-02,70
产品003,服饰类,华东,2024-01-03,70
产品003,服饰类,华东,2024-01-04,71
产品003,服饰类,华东,2024-01-05,71
产品003,服饰类,华东,2024-01-06,71
产品003,服饰类,华东,2024-01-07,71
产品004,食品类,华西,2024-01-01,60
产品004,食品类,华西,2024-01-02,60
产品004,食品类,华西,2024-01-03,61
产品004,食品类,华西,2024-01-04,61
产品004,食品类,华西,2024-01-05,61
产品004,食品类,华西,2024-01-06,61
产品004,食品类,华西,2024-01-07,61
产品005,食品类,华北,2024-01-01,59
产品005,食品类,华北,2024-01-02,59
产品005,食品类,华北,2024-01-03,59
产品005,食品类,华北,2024-01-04,58
产品005,食品类,华北,2024-01-05,58
产品005,食品类,华北,2024-01-06,58
产品005,食品类,华北,2024-01-07,58
